,Case #,State,Full Date,Day,Month,Year,date_diff
113,114,WA,2009-11-29,29,11,2009,24 
114,115,CA,2010-04-03,3,4,2010,125 
115,116,FL,2010-06-06,6,6,2010,64 
116,117,CT,2010-08-03,3,8,2010,58 
117,118,NY,2010-08-14,14,8,2010,11 
118,119,KY,2010-09-11,11,9,2010,28 
119,120,AZ,2011-01-08,8,1,2011,119 
120,121,OH,2011-08-07,7,8,2011,211 
121,122,NV,2011-09-06,6,9,2011,30 
122,123,CA,2011-10-12,12,10,2011,36 
123,124,CA,2012-04-02,2,4,2012,173 
124,125,WA,2012-05-30,30,5,2012,58 
125,126,CO,2012-07-20,20,7,2012,51 
126,127,WI,2012-08-05,5,8,2012,16 
127,128,MN,2012-09-27,27,9,2012,53 
128,129,CT,2012-12-14,14,12,2012,78 
129,130,NY,2013-03-13,13,3,2013,89 
130,131,WA,2013-04-21,21,4,2013,39 
131,132,CA,2013-06-07,7,6,2013,47 
132,133,FL,2013-07-26,26,7,2013,49 
133,134,DC,2013-09-16,16,9,2013,52 
134,135,CA,2014-02-20,20,2,2014,157 
135,136,CA,2014-05-23,23,5,2014,92 
136,137,WA,2014-10-24,24,10,2014,154 
137,138,SC,2015-06-17,17,6,2015,236 
138,139,TN,2015-07-16,16,7,2015,29 
139,140,OR,2015-10-01,1,10,2015,77 
140,141,TX,2015-11-14,14,11,2015,44 
141,142,CA,2015-12-02,2,12,2015,18 
142,143,CA,2015-12-02,2,12,2015,0 
143,144,MI,2016-02-20,20,2,2016,80 
144,"145, 146",PA,2016-03-09,9,3,2016,18 
145,147,FL,2016-06-12,12,6,2016,95 
146,148,TX,2016-07-07,7,7,2016,25 
147,149,WA,2016-09-23,23,9,2016,78 
148,150,FL,2017-01-06,6,1,2017,105 
149,151,MS,2017-02-06,6,2,2017,31 
150,152,WI,2017-03-22,22,3,2017,44 
151,153,FL,2017-06-05,5,6,2017,75 
152,154,NV,2017-10-01,1,10,2017,118 
153,155,TX,2017-11-05,5,11,2017,35 
154,156,CA,2017-11-14,14,11,2017,9 
155,157,PA,2018-01-28,28,1,2018,75 
156,158,FL,2018-02-14,14,2,2018,17 
157,159,MI,2018-02-26,26,2,2018,12 
158,160,TN,2018-04-22,22,4,2018,55 
159,161,TX,2018-05-18,18,5,2018,26 
160,162,MD,2018-06-28,28,6,2018,41 
161,163,CA,2018-09-12,12,9,2018,76 
162,164,PA,2018-10-27,27,10,2018,45 
163,165,CA,2018-11-07,7,11,2018,11 
164,166,FL,2019-01-23,23,1,2019,77 
165,167,IL,2019-02-15,15,2,2019,23 
166,168,VA,2019-05-31,31,5,2019,105 
167,169,TX,2019-08-03,3,8,2019,64 
168,170,OH,2019-08-04,4,8,2019,1 
169,171,TX,2019-08-31,31,8,2019,27 
170,172,NJ,2019-12-10,10,12,2019,101 
171,173,NJ,2019-12-10,10,12,2019,0 
172,174,WI,2020-02-26,26,2,2020,78 
173,175,MO,2020-03-15,15,3,2020,18 
174,176,IL,2021-01-09,9,1,2021,300 
175,177,GA,2021-03-16,16,3,2021,66 
176,178,CO,2021-03-22,22,3,2021,6 
177,179,CA,2021-03-31,31,3,2021,9 
178,180,IN,2021-04-15,15,4,2021,15 
179,181,CA,2021-05-26,26,5,2021,41 
180,182,MI,2021-11-30,30,11,2021,188 
181,183,CO,2021-12-27,27,12,2021,27 
182,184,NY,2022-05-14,14,5,2022,138 
183,185,TX,2022-05-24,24,5,2022,10 
184,186,OK,2022-06-01,1,6,2022,8 
185,187,IL,2022-07-04,4,7,2022,33 
186,188,NC,2022-10-13,13,10,2022,101 
187,189,CO,2022-11-19,19,11,2022,37 
188,190,VA,2022-11-22,22,11,2022,3 
189,191,CA,2023-01-21,21,1,2023,60 
190,192,CA,2023-01-23,23,1,2023,2 
191,193,TN,2023-03-27,27,3,2023,63 
192,194,KY,2023-04-10,10,4,2023,14 
193,195,TX,2023-05-06,6,5,2023,26 
